season_code,league_name,division,Date,HomeTeam,AwayTeam,result,result_ht,avg_home_score_5,avg_home_score_ht_5,avg_home_shots_on_target_5,avg_home_shots_5,avg_home_corners_5,avg_home_fouls_5,avg_home_yellow_5,avg_home_red_5,avg_away_score_5,avg_away_score_ht_5,avg_away_shots_on_target_5,avg_away_shots_5,avg_away_corners_5,avg_away_fouls_5,avg_away_yellow_5,avg_away_red_5,elo,elo_away,elo_diff
1617,Premier League,E0,2016-08-13,Burnley,Swansea,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Crystal Palace,West Brom,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Everton,Tottenham,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Hull,Leicester,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Man City,Sunderland,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Middlesbrough,Stoke,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-13,Southampton,Watford,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-14,Arsenal,Liverpool,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-14,Bournemouth,Man United,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-15,Chelsea,West Ham,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1617,Premier League,E0,2016-08-19,Man United,Southampton,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,100.0,5.0
1617,Premier League,E0,2016-08-20,Burnley,Liverpool,0,0,0.0,0.0,3.0,10.0,7.0,10.0,3.0,0.0,4.0,1.0,7.0,16.0,4.0,17.0,3.0,0.0,95.0,105.0,-10.0
1617,Premier League,E0,2016-08-20,Leicester,Arsenal,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0
1617,Premier League,E0,2016-08-20,Stoke,Man City,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,105.0,-5.0
1617,Premier League,E0,2016-08-20,Swansea,Hull,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0
1617,Premier League,E0,2016-08-20,Tottenham,Crystal Palace,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.0,5.0
1617,Premier League,E0,2016-08-20,Watford,Chelsea,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,105.0,-5.0
1617,Premier League,E0,2016-08-20,West Brom,Everton,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,100.0,5.0
1617,Premier League,E0,2016-08-21,Sunderland,Middlesbrough,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,-5.0
1617,Premier League,E0,2016-08-21,West Ham,Bournemouth,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0
1617,Premier League,E0,2016-08-27,Chelsea,Burnley,0,0,2.0,0.0,6.0,16.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.928,100.144,9.784
1617,Premier League,E0,2016-08-27,Crystal Palace,Bournemouth,1,2,0.0,0.0,4.0,14.0,3.0,12.0,2.0,0.0,0.0,0.0,5.0,8.0,6.0,15.0,1.0,1.0,90.072,90.0,0.072
1617,Premier League,E0,2016-08-27,Everton,Stoke,0,1,1.0,1.0,6.0,12.0,5.0,10.0,0.0,0.0,1.0,0.0,1.0,12.0,6.0,14.0,5.0,0.0,105.072,95.072,10.0
1617,Premier League,E0,2016-08-27,Hull,Man United,2,1,2.0,1.0,5.0,14.0,5.0,8.0,2.0,0.0,3.0,1.0,7.0,11.0,2.0,10.0,1.0,0.0,110.0,109.928,0.072
1617,Premier League,E0,2016-08-27,Leicester,Swansea,0,0,0.0,0.0,1.0,8.0,2.0,11.0,1.0,0.0,1.0,0.0,9.0,17.0,4.0,14.0,2.0,0.0,95.0,100.0,-5.0
1617,Premier League,E0,2016-08-27,Southampton,Sunderland,1,1,1.0,0.0,6.0,24.0,6.0,8.0,1.0,0.0,1.0,0.0,3.0,7.0,6.0,14.0,2.0,0.0,95.072,90.072,5.0
1617,Premier League,E0,2016-08-27,Tottenham,Liverpool,1,2,1.0,0.0,5.0,20.0,10.0,19.0,3.0,0.0,2.0,0.5,6.0,21.0,8.0,11.0,2.0,0.0,104.928,99.856,5.072
1617,Premier League,E0,2016-08-27,Watford,Arsenal,2,2,1.0,0.0,2.0,6.0,0.0,20.0,4.0,0.0,0.0,0.0,4.0,13.0,7.0,7.0,2.0,0.0,95.072,95.0,0.072
1617,Premier League,E0,2016-08-28,Man City,West Ham,0,0,2.0,1.0,4.0,16.0,9.0,11.0,1.0,0.0,1.0,0.0,3.0,7.0,1.0,16.0,2.0,0.0,109.928,100.0,9.928
1617,Premier League,E0,2016-08-28,West Brom,Middlesbrough,1,1,1.0,1.0,4.0,11.0,7.0,16.0,3.0,0.0,2.0,2.0,3.0,8.0,1.0,14.0,1.0,0.0,99.928,104.928,-5.0
1617,Premier League,E0,2016-09-10,Arsenal,Southampton,0,1,3.0,1.0,5.0,9.0,5.0,13.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,8.0,0.0,0.0,100.001,95.0,5.001
1617,Premier League,E0,2016-09-10,Bournemouth,West Brom,0,1,1.0,0.0,3.0,9.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,13.0,6.0,15.0,2.0,0.0,90.001,100.0,-9.999
1617,Premier League,E0,2016-09-10,Burnley,Hull,1,1,1.0,1.0,2.5,6.5,4.0,12.0,1.5,0.0,2.0,0.0,4.0,12.0,3.0,10.0,0.0,0.0,95.285,104.999,-9.714
1617,Premier League,E0,2016-09-10,Liverpool,Leicester,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,18.0,3.0,17.0,2.0,0.0,99.929,100.072,-0.143
1617,Premier League,E0,2016-09-10,Man United,Man City,2,2,2.0,1.0,5.0,12.0,4.0,11.0,0.0,0.0,4.0,2.0,6.0,12.0,7.0,13.0,4.0,0.0,114.929,114.785,0.144
1617,Premier League,E0,2016-09-10,Middlesbrough,Crystal Palace,2,1,1.0,1.0,2.0,12.0,9.0,18.0,3.0,0.0,0.0,0.0,2.0,10.0,4.0,9.0,3.0,0.0,104.856,90.071,14.785
1617,Premier League,E0,2016-09-10,Stoke,Tottenham,2,2,1.0,0.0,3.0,8.0,7.0,12.0,3.0,0.0,1.0,0.0,4.0,13.0,6.0,14.0,0.0,0.0,90.216,104.855,-14.639
1617,Premier League,E0,2016-09-10,West Ham,Watford,2,1,1.0,0.0,2.0,15.0,1.0,15.0,3.0,0.0,1.0,1.0,1.0,5.0,2.0,12.0,2.0,1.0,95.143,90.071,5.072
1617,Premier League,E0,2016-09-11,Swansea,Chelsea,1,2,0.0,0.0,3.0,13.0,8.0,7.0,0.0,0.0,2.0,0.0,4.0,13.0,5.0,10.0,3.0,0.0,94.928,114.787,-19.859
1617,Premier League,E0,2016-09-12,Sunderland,Everton,2,1,1.0,0.0,5.0,18.0,8.0,11.0,1.0,0.0,2.0,1.0,7.0,13.0,4.0,10.0,1.0,0.0,90.144,109.928,-19.784
1617,Premier League,E0,2016-09-16,Chelsea,Liverpool,2,2,2.5,1.0,8.0,19.0,8.0,11.0,3.5,0.0,1.667,0.667,5.0,18.333,7.0,13.0,3.0,0.0,114.502,104.931,9.571
1617,Premier League,E0,2016-09-17,Everton,Middlesbrough,0,0,1.0,0.5,7.5,16.5,7.0,12.0,1.0,0.0,1.0,1.0,2.5,7.5,2.5,12.5,2.0,0.0,114.644,99.643,15.001
1617,Premier League,E0,2016-09-17,Hull,Arsenal,2,2,1.0,0.5,3.5,11.0,3.0,8.5,2.0,0.0,1.5,1.5,5.5,11.5,4.5,11.0,1.5,0.0,104.859,104.929,-0.07
1617,Premier League,E0,2016-09-17,Leicester,Burnley,0,0,1.0,0.5,3.5,10.5,3.0,12.5,1.5,0.0,0.0,0.0,0.0,6.0,5.0,9.0,2.0,0.0,95.07,95.425,-0.355
1617,Premier League,E0,2016-09-17,Man City,Bournemouth,0,0,2.5,1.5,4.5,19.0,7.0,8.0,1.0,0.0,0.5,0.5,4.0,9.0,5.0,12.5,1.0,0.5,119.787,95.145,24.642
1617,Premier League,E0,2016-09-17,West Brom,West Ham,0,0,0.5,0.5,3.0,12.0,6.0,14.0,2.0,0.0,1.0,0.0,2.5,8.0,2.5,13.0,2.5,0.0,94.856,90.07,4.786
1617,Premier League,E0,2016-09-18,Crystal Palace,Stoke,0,0,0.5,0.0,4.5,19.0,6.5,13.5,2.0,0.0,0.5,0.0,1.0,10.0,4.0,12.5,3.0,0.0,95.284,85.427,9.857
1617,Premier League,E0,2016-09-18,Southampton,Swansea,0,1,1.0,0.0,6.5,20.0,5.5,11.5,1.5,0.0,1.0,0.0,6.0,13.0,5.0,12.0,2.0,0.0,90.072,95.213,-5.141
1617,Premier League,E0,2016-09-18,Tottenham,Sunderland,0,1,1.0,0.0,4.5,15.5,7.5,15.0,3.0,0.0,1.0,0.0,2.5,6.0,5.5,11.0,2.0,0.0,109.644,85.428,24.216
1617,Premier League,E0,2016-09-18,Watford,Man United,0,0,1.0,0.0,4.0,10.0,1.5,19.0,5.0,0.0,2.0,0.5,8.0,20.0,4.0,8.0,2.0,0.0,95.144,109.927,-14.783
